,source_node,source_name,target_node,target_name,hetesim_score
0,C0021641,Insulin,C0025519,Metabolism,0.11007713203935965
1,C0001962,ethanol,C0025519,Metabolism,0.10967099297844508
2,C0002520,Amino Acids,C0025519,Metabolism,0.10545999120512921
3,C0597357,receptor,C0025519,Metabolism,0.10457491709489461
4,C1448177|7124,NAME_NOT_FOUND,C0025519,Metabolism,0.10129138531318495
5,C1366832|51761,NAME_NOT_FOUND,C0025519,Metabolism,0.09960082756800472
6,C0003241,Antibodies,C0025519,Metabolism,0.09945377336471954
7,C0079189,cytokine,C0025519,Metabolism,0.09580879157218525
8,C0021753,"interleukin-1, beta",C0025519,Metabolism,0.09337821169395594
9,C0003765,arginine,C0025519,Metabolism,0.09168234718191796
10,C0021665,Insulin-Like Growth Factor I,C0025519,Metabolism,0.0914082490916002
11,C0021641|3630,NAME_NOT_FOUND,C0025519,Metabolism,0.09120007818415193
12,C0021760,interleukin-6,C0025519,Metabolism,0.08997479543298818
13,C0220839,glutamate,C0025519,Metabolism,0.0878043178650992
14,C0009325,collagen,C0025519,Metabolism,0.0875764779250798
15,C0003009,angiotensin II,C0025519,Metabolism,0.08533620061704593
16,C0038838,superoxide dismutase,C0025519,Metabolism,0.08177565272616988
17,C0299583|3952,NAME_NOT_FOUND,C0025519,Metabolism,0.08129556066221054
18,C0010592,cyclosporine,C0025519,Metabolism,0.0801841954490642
19,C0017817,glutathione,C0025519,Metabolism,0.07964413741342163
20,C0669365|4846,NAME_NOT_FOUND,C0025519,Metabolism,0.07880000745914631
21,C0037663,Growth Hormone,C0025519,Metabolism,0.0780155138929234
22,C0019046,Hemoglobin,C0025519,Metabolism,0.07636085399968225
23,C0030016,Oxidoreductase,C0025519,Metabolism,0.07613119690881749
24,C0031727,Phosphotransferases,C0025519,Metabolism,0.07529058047767782
25,C0376261,lactate,C0025519,Metabolism,0.07453089806242069
26,C0002059,Alkaline Phosphatase,C0025519,Metabolism,0.07407603981474443
27,C0007367,catalase,C0025519,Metabolism,0.07378216448215588
28,C0669372|4843,NAME_NOT_FOUND,C0025519,Metabolism,0.0732675317613102
29,C0003242,"Antibodies, Anti-Idiotypic",C0025519,Metabolism,0.07297486799415423
30,C0017890,glycine,C0025519,Metabolism,0.0728460864298905
31,C1171892|7422,NAME_NOT_FOUND,C0025519,Metabolism,0.07167295867513963
32,C0010654,cysteine,C0025519,Metabolism,0.07162477198485519
33,C0022245,isoproterenol,C0025519,Metabolism,0.06970695254573349
34,C0033634,Protein Kinase C,C0025519,Metabolism,0.06935653752804107
35,C0003779,argipressin,C0025519,Metabolism,0.06902583810506369
36,C0242275|1950,NAME_NOT_FOUND,C0025519,Metabolism,0.06891740463632981
37,C0001924,Albumins,C0025519,Metabolism,0.0685512080672776
38,C0024337,lysine,C0025519,Metabolism,0.06764715130115742
39,C0080222|7040,NAME_NOT_FOUND,C0025519,Metabolism,0.06733666004916172
40,C0030095,oxytocin,C0025519,Metabolism,0.06679998003635358
41,C0026549,morphine,C0025519,Metabolism,0.06668831405287665
42,C0040648,TRANSCRIPTION FACTOR,C0025519,Metabolism,0.06649719528271696
43,C0033371,prolactin,C0025519,Metabolism,0.06610051796131344
44,C1305923,Polypeptides,C0025519,Metabolism,0.06581500323407621
45,C0021758,interleukin-4,C0025519,Metabolism,0.06527557129606917
46,C1456820|7124,NAME_NOT_FOUND,C0025519,Metabolism,0.06500707016566941
47,C0023820,Lipoproteins,C0025519,Metabolism,0.0645466410494498
48,C0042523,verapamil,C0025519,Metabolism,0.06450179418257594
49,C0033497,propranolol,C0025519,Metabolism,0.06427561225939633
50,C0017968,Glycoproteins,C0025519,Metabolism,0.06399185948682243
51,C0079281,Endothelin-1,C0025519,Metabolism,0.06356229090156477
52,C0001655|5443,NAME_NOT_FOUND,C0025519,Metabolism,0.06316639250703535
53,C0038585,Substance P,C0025519,Metabolism,0.06262856750132655
54,C0132555,Nitric Oxide Synthase,C0025519,Metabolism,0.0625271030309061
55,C0001898,alanine,C0025519,Metabolism,0.06238805801639095
56,C0034783,Adrenergic Receptor,C0025519,Metabolism,0.062369626942465374
57,C0016055,Fibronectins,C0025519,Metabolism,0.06231697031587909
58,C0014822|2056,NAME_NOT_FOUND,C0025519,Metabolism,0.062044422427439606
59,C0027893|4852,NAME_NOT_FOUND,C0025519,Metabolism,0.061770295602664255
60,C0034804,Estrogen Receptors,C0025519,Metabolism,0.06167353506508375
61,C0389071,Adiponectin,C0025519,Metabolism,0.0616571391991097
62,C0033640,Protein Kinases,C0025519,Metabolism,0.061299882650957496
63,C0040845,tretinoin,C0025519,Metabolism,0.061243461397419145
